Month,Passengers,t
Jan-95,112,1
Feb-95,118,2
Mar-95,132,3
Apr-95,129,4
May-95,121,5
Jun-95,135,6
Jul-95,148,7
Aug-95,148,8
Sep-95,136,9
Oct-95,119,10
Nov-95,104,11
Dec-95,118,12
Jan-96,115,13
Feb-96,126,14
Mar-96,141,15
Apr-96,135,16
May-96,125,17
Jun-96,149,18
Jul-96,170,19
Aug-96,170,20
Sep-96,158,21
Oct-96,133,22
Nov-96,114,23
Dec-96,140,24
Jan-97,145,25
Feb-97,150,26
Mar-97,178,27
Apr-97,163,28
May-97,172,29
Jun-97,178,30
Jul-97,199,31
Aug-97,199,32
Sep-97,184,33
Oct-97,162,34
Nov-97,146,35
Dec-97,166,36
Jan-98,171,37
Feb-98,180,38
Mar-98,193,39
Apr-98,181,40
May-98,183,41
Jun-98,218,42
Jul-98,230,43
Aug-98,242,44
Sep-98,209,45
Oct-98,191,46
Nov-98,172,47
Dec-98,194,48
Jan-99,196,49
Feb-99,196,50
Mar-99,236,51
Apr-99,235,52
May-99,229,53
Jun-99,243,54
Jul-99,264,55
Aug-99,272,56
Sep-99,237,57
Oct-99,211,58
Nov-99,180,59
Dec-99,201,60
Jan-00,204,61
Feb-00,188,62
Mar-00,235,63
Apr-00,227,64
May-00,234,65
Jun-00,264,66
Jul-00,302,67
Aug-00,293,68
Sep-00,259,69
Oct-00,229,70
Nov-00,203,71
Dec-00,229,72
Jan-01,242,73
Feb-01,233,74
Mar-01,267,75
Apr-01,269,76
May-01,270,77
Jun-01,315,78
Jul-01,364,79
Aug-01,347,80
Sep-01,312,81
Oct-01,274,82
Nov-01,237,83
Dec-01,278,84
Jan-02,284,85
Feb-02,277,86
Mar-02,317,87
Apr-02,313,88
May-02,318,89
Jun-02,374,90
Jul-02,413,91
Aug-02,405,92
Sep-02,355,93
Oct-02,306,94
Nov-02,271,95
Dec-02,306,96
