Quarter,Sales,t
Q1_86,1734.827,1
Q2_86,2244.960999,2
Q3_86,2533.804993,3
Q4_86,2154.962997,4
Q1_87,1547.818996,5
Q2_87,2104.411995,6
Q3_87,2014.362999,7
Q4_87,1991.746998,8
Q1_88,1869.049999,9
Q2_88,2313.631996,10
Q3_88,2128.32,11
Q4_88,2026.828999,12
Q1_89,1910.603996,13
Q2_89,2331.164993,14
Q3_89,2206.549995,15
Q4_89,2173.967995,16
Q1_90,2148.278,17
Q2_90,2739.307999,18
Q3_90,2792.753998,19
Q4_90,2556.009995,20
Q1_91,2480.973999,21
Q2_91,3039.522995,22
Q3_91,3172.115997,23
Q4_91,2879.000999,24
Q1_92,2772,25
Q2_92,3550,26
Q3_92,3508,27
Q4_92,3243.859993,28
Q1_93,3056,29
Q2_93,3899,30
Q3_93,3629,31
Q4_93,3373,32
Q1_94,3352,33
Q2_94,4342,34
Q3_94,4461,35
Q4_94,4017,36
Q1_95,3854,37
Q2_95,4936,38
Q3_95,4895,39
Q4_95,4333,40
Q1_96,4194,41
Q2_96,5253,42
